ENTIDAD,AÑO,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,UNIDAD DE MEDICION
CAMPECHE,1986,29.38134092,32.84635854,33.43846154,36.45686275,36.46710942,34.84312925,34.62945042,34.99082859,34.49404762,33.91580645,32.85608974,31.98185484,°C
COAHUILA  DE ZARAGOZA,1986,20.2378635,24.02333533,26.30828939,30.34473767,31.53398571,30.7452781,31.69949259,32.8856482,30.06143473,25.53712067,23.22587586,18.27935667,°C
COLIMA,1986,31.25245442,31.22794444,31.8699626,33.4947619,33.98016129,33.83181818,32.65422776,33.52487144,32.68101427,31.7157143,32.91966087,31.86688865,°C
CHIAPAS,1986,27.36258573,30.07061664,30.07826509,32.46431272,31.64270848,30.52596394,30.11954301,30.30663145,30.10903555,29.77002321,29.76609756,29.29527435,°C
CHIHUAHUA,1986,18.84469258,21.24079212,22.8316617,28.18973851,30.1216209,31.15270402,29.11941373,29.65420448,28.07056513,24.6743899,20.55165217,15.28505184,°C
DISTRITO FEDERAL,1986,20.6346514,23.40963203,24.69015457,26.31516996,25.37991675,23.64264009,23.26656922,23.76916654,23.89774194,22.9043427,22.889,21.93548387,°C
DURANGO,1986,20.19884202,22.98526221,24.47639853,28.69377071,29.89164827,29.41419797,27.36714771,28.47970275,26.72835858,24.45998486,23.45199074,18.77314649,°C
GUANAJUATO,1986,22.32147977,24.79074941,25.67331613,29.51953125,30.04615975,26.2589418,25.52527763,26.36462189,26.2707438,24.54165261,24.68069444,22.99496199,°C
GUERRERO,1986,30.27414526,31.44828874,32.10568723,33.9729298,33.07283157,31.28044235,30.71732705,31.01337454,30.52127318,30.98690986,31.36505818,30.48223641,°C
HIDALGO,1986,20.35085428,23.74275274,23.70278235,27.04658947,26.37318819,24.02417071,23.33727957,24.33894247,23.95905935,22.58894335,22.54898787,22.05021172,°C
JALISCO,1986,26.43574654,27.6882489,29.13276428,32.17245481,32.71394348,29.62604505,28.00279863,28.99389818,28.65520554,27.24954696,28.08449605,25.8957455,°C
MÉXICO,1986,20.56116788,22.33124385,23.49653142,25.48394675,24.36779222,21.93656418,21.63032286,22.11483676,22.47130772,21.87987654,22.28532404,20.8550174,°C
MICHOACÁN DE OCAMPO,1986,25.75235168,26.98162526,28.50573241,31.43806423,31.2704715,27.96767558,26.50425778,27.11052696,27.03507609,26.37471896,27.14089359,25.85036259,°C
MORELOS,1986,26.24629981,28.82205882,29.94877419,32.08044872,30.85734078,27.8903268,28.15853495,28.18526821,28.0007782,28.17708333,28.99095622,27.96602608,°C
NAYARIT,1986,30.28837686,29.67286967,31.86724566,34.43823974,34.26162117,33.91927318,33.05538669,33.09418573,32.55509259,31.80599078,32.25932312,29.47296015,°C
NUEVO LEÓN,1986,21.19503703,24.57297893,26.61254335,29.89077309,30.54113981,29.73777862,31.62582562,32.73663039,30.29417077,25.72713266,22.68656562,17.59959733,°C
OAXACA,1986,26.20170933,28.40999109,28.75738336,31.2830081,30.44701237,28.86784887,28.40412681,28.94521679,28.40763233,28.07582515,28.02731921,27.24638347,°C
PUEBLA,1986,21.861975,24.38513497,24.75047061,27.18732244,26.9703965,25.2813094,24.6870734,25.40539676,25.19056426,24.19677419,23.92254239,22.53690632,°C
QUERÉTARO,1986,22.07075918,26.46708075,26.23322581,29.84217377,29.31333747,26.4,26.94971537,27.26451613,26.29166667,24.0905307,24.38141414,22.59811309,°C
QUINTANA ROO,1986,28.44009712,30.43818484,31.2555914,33.03571429,33.19632925,32.77994253,32.82059696,33.12065258,32.54955556,31.89271592,31.37010753,30.61784946,°C
SAN LUIS POTOSÍ,1986,22.8106586,26.58792275,27.57375615,30.75162878,31.13387097,29.10351009,28.80021886,31.13984808,28.96188949,26.13117246,25.22883607,21.9650723,°C
SINALOA,1986,29.60094549,28.81631461,31.63020828,34.75052623,35.10050949,35.54214665,34.5760454,34.43519825,34.12101895,32.21853257,31.65678431,27.02262494,°C
SONORA,1986,26.64511307,25.49412273,28.82296772,32.75506651,34.68346028,37.4166645,35.12538092,36.10199693,34.41231856,30.95591404,26.8657473,21.96378054,°C
TABASCO,1986,26.61290323,31.0788961,31.03020528,34.83304348,35.41474654,34.29,33.57943548,34.08232819,33.2842029,32.39278674,31.06121212,29.05591398,°C
TAMAULIPAS,1986,24.20745624,28.04808142,30.18871299,32.69091861,33.03814689,33.43937124,33.58110523,35.37917808,33.05250344,29.31464956,26.52616489,21.83243892,°C
TLAXCALA,1986,19.69899889,21.96289928,22.55545906,25.06573333,23.81612903,22.24478261,22.05345622,22.79193548,22.49133333,21.45035842,21.628125,20.67334465,°C
VERACRUZ DE IGNACIO DE LA LLAVE,1986,23.72664108,27.55087442,27.22172315,31.14479422,31.09818461,30.09215273,29.09373692,30.1138266,28.99921053,27.53560895,26.31546775,23.29709952,°C
YUCATÁN,1986,28.18162366,31.22378978,32.29894009,34.65303671,35.21652159,34.45897126,33.98347238,34.04719864,33.43716076,33.30605067,32.29998659,31.19747696,°C
ZACATECAS,1986,22.07476882,23.66920776,25.36705069,29.14977169,30.37693327,27.61666667,26.05929293,27.51709196,26.55245098,24.10865874,23.64786079,21.39731183,°C
AGUASCALIENTES,1987,20.45471464,21.71824675,24.09542522,27.02181818,28.03677419,28.45509091,25.68181818,27.28797654,27.37727273,25.76642772,24.18454545,23.07008798,°C
BAJA CALIFORNIA,1987,19.21605561,20.45399578,22.12040833,26.87696176,27.1687005,31.1660378,32.16483664,33.12394405,32.91450724,29.83649589,22.8439579,18.50816679,°C
BAJA CALIFORNIA SUR,1987,24.21785509,24.62473909,26.55763053,29.71434989,29.54061466,33.62138643,35.82537812,36.05273561,35.32199556,34.149712,28.77443311,24.66868891,°C
CAMPECHE,1987,30.51284457,32.55748677,33.61849861,34.12205852,37.42618508,35.47035862,34.28315412,34.39554531,34.68358851,32.07837634,31.81554023,31.48090849,°C
COAHUILA  DE ZARAGOZA,1987,18.20719422,20.46240027,22.96291416,25.58835413,28.96270609,31.34824158,31.14804147,32.34249198,29.65277984,27.47380099,23.41530838,21.68655844,°C
COLIMA,1987,30.50844674,30.16502222,31.65975554,32.98008547,33.85281323,34.33367009,33.10355934,32.88301543,33.58306452,33.09686925,33.11748371,32.11489576,°C
CHIAPAS,1987,28.90052923,30.20537057,31.2250949,31.3165641,32.45616981,30.64416735,30.04897635,30.31014174,30.47785004,28.59856363,29.60024211,29.63213893,°C
CHIHUAHUA,1987,17.05510134,18.07221643,21.06680938,24.70657446,27.5391128,31.89145363,31.07800241,29.25706694,28.00694225,26.35023691,21.17861018,18.97678918,°C
DISTRITO FEDERAL,1987,22.80378198,23.17783951,24.51415193,25.2144086,25.9743483,24.05933333,23.32299688,24.04453694,24.55,22.95577523,22.80602151,22.96946237,°C
DURANGO,1987,18.1339307,20.57126006,22.69903074,26.35273257,28.13253415,30.13787356,28.49075813,27.75134409,26.7839571,25.89529392,23.10696426,21.52766129,°C
GUANAJUATO,1987,23.01930364,23.74106059,25.61062156,27.58377524,29.50451308,28.42202778,26.55358907,26.90243065,27.49410278,25.41130344,24.70710411,24.60716552,°C
GUERRERO,1987,30.73394663,31.56060848,32.78309661,33.62957516,34.18844474,32.02764796,30.63555679,31.05579382,31.16880368,31.43485777,31.55964518,31.51674746,°C
HIDALGO,1987,22.70208069,23.27464182,24.29073132,25.09128069,26.38106814,24.76400966,23.18464382,24.60614433,24.78913086,22.37059874,22.96412388,23.45888319,°C
JALISCO,1987,25.42409333,26.33026577,28.16907157,30.74467545,32.0227796,31.52508408,28.74244708,28.66800649,29.56913078,28.90183393,28.05612374,26.81707179,°C
MÉXICO,1987,21.50844112,21.95375445,22.97155783,24.10108347,24.77751369,22.91520714,21.90270815,22.69587546,23.37943192,22.3582342,22.05568873,22.17034757,°C
MICHOACÁN DE OCAMPO,1987,25.89109459,26.41410806,28.40975144,30.12791108,31.32844783,29.5297738,27.0730312,27.1361004,28.20226755,27.77941363,27.28701601,26.86609989,°C
MORELOS,1987,28.77532258,29.31731746,30.80564516,31.586865,32.5960844,29.07438679,27.71320306,28.43544405,28.716671,28.143445,28.28619838,28.4787038,°C
NAYARIT,1987,27.13486845,27.97881761,30.11190942,32.75290737,34.05962998,35.52033807,33.31951397,32.4484735,32.97678499,33.44600847,32.00558027,29.20275538,°C
NUEVO LEÓN,1987,18.92456807,21.20943589,22.58992391,25.80406058,29.4953311,30.70704526,30.94149605,32.67985558,29.23184196,26.30305454,22.70646942,21.28371708,°C
OAXACA,1987,27.51589822,28.73003467,29.7399002,30.20096345,31.34243729,29.3231111,28.38235984,28.80735164,29.53716128,28.51368164,28.68863531,28.49771335,°C
PUEBLA,1987,23.06816692,23.75198289,24.89541945,25.37641821,27.40944983,26.08460523,24.70294536,25.41581594,25.68112206,24.63265778,24.0549287,23.7456871,°C
QUERÉTARO,1987,23.36087676,24.08937729,25.63978495,27.16315315,28.8720996,27.20051724,25.37387097,27.48564516,27.81891786,24.93341398,24.1080784,24.37220844,°C
