ENTIDAD,AÑO,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,UNIDAD DE MEDICION
CAMPECHE,1986,15.42078729,16.91526611,16.71488834,19.07745098,20.92454143,20.98626554,20.38434886,20.55945604,20.64076923,19.53967742,19.40774573,17.09442204,°C
COAHUILA  DE ZARAGOZA,1986,4.046258295,7.284568733,9.014720059,13.48310734,15.54637595,16.64987879,16.91329525,17.55024346,16.15267857,12.38439367,9.349422989,6.158554605,°C
COLIMA,1986,13.67180926,13.10460224,12.71811594,16.08571429,17.72653226,19.21674437,19.1177175,19.98125292,20.05755683,18.29475674,18.65564856,16.39386013,°C
CHIAPAS,1986,14.17661925,15.05345744,14.88441483,17.13185238,19.03277509,18.68468577,18.24365591,18.4777724,18.60245231,17.85246976,17.38929539,15.87798589,°C
CHIHUAHUA,1986,-1.484546457,1.019746163,3.490349688,8.444777778,10.7813806,14.65244444,15.19557694,15.45634226,12.92880556,7.62227209,2.986178054,-0.598675115,°C
DISTRITO FEDERAL,1986,3.24681187,5.621969697,5.450386425,9.303020833,10.72403746,11.47786458,10.05079301,10.38463406,10.74494624,9.767322234,8.076777778,5.680645161,°C
DURANGO,1986,0.439288668,2.171602448,3.665741119,8.797532468,11.21090832,13.29719096,13.46544992,13.76928722,13.27076679,9.900453958,5.251296296,1.924535697,°C
GUANAJUATO,1986,3.77391193,5.608840749,6.039845161,11.20348958,12.91641065,13.80825397,12.78027499,12.22549323,12.634573,10.70727828,8.720470307,6.110636819,°C
GUERRERO,1986,14.74869663,15.79991015,15.84652748,18.97760794,19.93480918,19.80522166,19.09535025,19.30934534,19.27264871,18.94568914,18.35620575,16.37406893,°C
HIDALGO,1986,1.403569681,4.201271461,4.222755654,8.677129992,10.68138463,11.61839226,9.947290323,9.7530429,10.16921769,9.155681081,6.696814695,4.960422879,°C
JALISCO,1986,6.540726528,6.952777358,7.890083247,12.45310566,14.47382474,15.81670645,15.49665446,15.2571974,15.40260784,13.4124772,11.14028936,8.326283485,°C
MÉXICO,1986,2.248258857,3.716026076,3.759263983,7.76282843,9.564465172,10.37115091,9.017314013,9.146011195,9.328177332,8.237857767,6.594840962,4.366541675,°C
MICHOACÁN DE OCAMPO,1986,6.427966613,7.503465033,7.842668333,12.61208532,14.16541079,14.83019219,14.13501387,13.90074929,14.28856029,12.72081297,11.16202331,8.607043427,°C
MORELOS,1986,8.486907021,10.3179972,10.61335484,14.89929487,16.33639371,16.48712418,15.03723118,15.40303923,15.05345107,14.61572581,13.37879433,10.75778998,°C
NAYARIT,1986,11.74235151,12.28912559,11.98378825,16.46857143,17.95698925,20.73255639,20.94987907,20.73949433,21.00324074,19.23414746,16.8683461,13.41736243,°C
NUEVO LEÓN,1986,5.139900468,7.580198518,9.398903777,14.5857595,16.47322715,17.83358955,17.44044042,18.08392355,17.08987862,13.96231521,9.578751389,6.833761927,°C
OAXACA,1986,10.76185925,12.73291816,12.37556578,15.27586599,16.62979339,16.35017545,15.9531825,16.07682275,15.86723132,15.27632405,14.33408209,12.69478294,°C
PUEBLA,1986,4.555769231,7.003703704,7.289896531,10.84525794,12.30129032,12.28851652,11.07868747,11.18051477,11.686675,10.78500949,9.321727514,7.416295884,°C
QUERÉTARO,1986,2.871687788,6.368167702,6.139516129,11.13218391,12.67753226,13.60068376,13.0199241,12.20806452,12.79322917,11.20863684,8.982301274,6.359647381,°C
QUINTANA ROO,1986,15.81207076,16.92507883,17.01301075,18.0302381,20.53915462,21.62393678,21.26107527,21.00416388,20.95933333,19.64016649,19.55204301,17.5916129,°C
SAN LUIS POTOSÍ,1986,6.372957661,8.804875132,10.03515582,14.73936963,16.86506288,17.32344538,16.59369112,16.78787642,16.66179673,14.97686104,12.56848492,10.2874861,°C
SINALOA,1986,10.5443363,11.14445055,11.38955453,15.95949006,17.58641144,21.8905929,22.90796211,22.81230679,21.97334016,19.81005693,14.82972222,11.72464937,°C
SONORA,1986,6.534147941,6.994399616,8.962888471,12.40472812,14.25290498,20.39279953,21.57099977,22.16646455,18.60590476,13.54219779,9.523170794,5.399810106,°C
TABASCO,1986,17.44882698,19.58571429,18.65953079,21.48942029,22.82365592,23.05936508,22.85715663,22.50028051,22.61782609,21.77013757,21.3630303,19.74516129,°C
TAMAULIPAS,1986,9.23385527,11.88415661,13.91110529,18.75380615,20.34963863,21.71916115,20.96267984,21.12870569,20.86995062,17.77924417,14.32475983,11.17621513,°C
TLAXCALA,1986,-0.1315523,1.56005291,1.239061208,5.241333333,8.117607527,8.993188406,6.992165898,7.044354839,7.425166667,6.212724014,4.875625,2.626994907,°C
VERACRUZ DE IGNACIO DE LA LLAVE,1986,11.37800797,14.14876956,14.14789471,17.87489573,19.44259531,19.43849455,18.40070251,18.49375232,18.5587595,17.49106249,15.94117961,14.05585535,°C
YUCATÁN,1986,15.13714286,16.56120588,17.17546083,18.79637825,20.95545389,21.39626628,20.98604931,21.08919072,20.62457886,19.67092538,19.57884483,17.18590014,°C
ZACATECAS,1986,2.875236559,4.085625804,4.610829493,10.17768829,12.30380027,13.42957746,12.69389499,12.34973519,12.4277451,10.47521222,6.672222222,3.745837052,°C
AGUASCALIENTES,1987,2.974389992,4.282467532,5.644868035,8.392121212,10.3822043,12.92848485,13.27507331,13.18,12.52666667,7.709378734,5.611212121,5.48914956,°C
BAJA CALIFORNIA,1987,4.198945915,5.918513532,7.141412716,9.855279259,11.91365897,14.31247188,15.33047073,17.12248551,15.26633268,14.32541064,8.663444511,4.331599802,°C
BAJA CALIFORNIA SUR,1987,7.942187868,8.727293364,9.583634332,12.15981481,13.28605662,15.92380397,19.71890682,21.11512595,20.50574242,18.73145614,12.71875711,9.116082604,°C
CAMPECHE,1987,14.9911085,16.18621429,18.05234966,17.7830303,20.670244,21.62608046,21.01454775,20.33838051,20.897,18.0578172,17.11506667,16.40032916,°C
COAHUILA  DE ZARAGOZA,1987,2.987357845,5.325464013,6.508939311,9.247985222,13.86008748,16.66672515,17.29537581,17.52177805,15.64981256,11.98473907,7.313533698,5.823994985,°C
COLIMA,1987,14.30208117,14.0127425,14.16330147,15.25982906,16.86709163,21.04964555,21.09596289,20.48906331,21.28791491,19.16980503,17.65279584,16.40777436,°C
CHIAPAS,1987,13.80380544,15.36997852,16.25707967,17.4114359,18.55082134,19.70592477,19.0571047,19.12407136,19.17575338,16.93852672,16.33356376,15.77853372,°C
CHIHUAHUA,1987,-2.874558949,-0.865666112,0.784193548,5.715906949,9.828102375,13.5645105,15.53174555,14.78971293,12.71793734,8.556639051,1.57946356,-0.892171446,°C
DISTRITO FEDERAL,1987,4.13570634,5.704761905,7.716129032,9.14827957,9.75645354,11.07333333,11.33922997,11.06108221,11.71866667,7.42528616,6.59172043,6.399892473,°C
DURANGO,1987,-0.24306946,2.174951076,3.197728305,6.415248524,9.831364429,13.47683761,14.81766707,14.3212639,13.23826282,9.224262476,4.43308642,3.858266129,°C
GUANAJUATO,1987,4.830179151,5.832259953,7.737053064,9.655893333,11.79154892,13.103,13.4925603,12.94808891,12.32225895,8.043404144,6.64976378,6.208593337,°C
GUERRERO,1987,15.41793454,16.30037274,17.67278886,18.78418113,20.02265833,20.28493775,19.9152889,19.80752147,20.22431274,18.33590581,17.48798294,17.25513546,°C
HIDALGO,1987,3.136991804,4.669628166,6.668565494,7.933297509,9.703655917,11.1092865,11.20502162,10.49006656,10.45649949,5.659047289,5.753617988,5.145771336,°C
JALISCO,1987,7.091263109,7.391568961,8.503467656,10.62247599,12.84232389,16.32240537,16.6260592,16.01710664,16.05199014,11.96106612,9.426358867,8.710999205,°C
MÉXICO,1987,2.997729488,4.107643213,5.605662719,7.187426129,8.250337813,9.959341604,10.44923236,9.806727326,9.801158361,5.823700747,5.306307129,4.683448228,°C
MICHOACÁN DE OCAMPO,1987,7.54286901,8.426199166,9.793505243,11.66708983,13.40544819,15.01814856,15.35752915,14.85997596,14.75261787,11.37835253,9.953851865,9.258118784,°C
MORELOS,1987,9.356451613,10.9085,12.7442928,14.6824183,15.93978495,16.83044025,16.32797767,15.79456392,16.32062893,12.45663772,11.45216049,11.4737675,°C
NAYARIT,1987,11.73780632,11.60598545,11.97350521,13.69852941,16.15294118,21.07258041,21.36404993,20.83965005,21.72308378,19.02762463,15.34333333,14.02609207,°C
NUEVO LEÓN,1987,4.919158201,7.269410799,8.207337806,10.28877124,15.92708901,17.71940826,17.68760209,18.25051503,16.32251386,11.99792717,8.591931818,6.604461002,°C
OAXACA,1987,11.33172812,12.67760212,14.27909464,14.91906173,16.33650451,17.15528368,16.99000613,16.67448095,16.70942517,14.36697442,13.76537747,13.53067559,°C
PUEBLA,1987,5.438832565,7.319781932,9.187692084,10.1039326,12.14295755,13.13111684,12.85247458,12.06866029,12.49082309,8.416857558,8.355684258,7.554144207,°C
QUERÉTARO,1987,4.652522746,6.254578755,8.138870968,9.47009009,11.5762309,12.30708333,13.34556452,12.91048387,11.96536585,7.600362903,6.695726496,6.542349049,°C
QUINTANA ROO,1987,15.143604,16.43611111,18.94514787,17.25161111,19.6530998,22.23683497,21.65650364,21.13229839,21.22933333,19.0957223,18.1328125,17.33291601,°C
SAN LUIS POTOSÍ,1987,6.072833137,7.943935591,9.980238266,11.65544291,15.74807036,17.00434478,16.71452041,16.87083453,16.50344318,11.78856567,10.02643584,9.040906151,°C
SINALOA,1987,9.382932967,10.1599026,10.55278592,13.64777778,16.16299364,21.4142647,24.02566244,22.84641577,22.847542,20.38402367,13.7140404,11.96127403,°C
SONORA,1987,3.435447726,5.720927352,6.481090221,11.39996065,13.95008582,19.27239563,22.13300294,21.67106859,19.70576227,16.97051316,7.979764598,4.29672382,°C
TABASCO,1987,17.014446,19.03555901,20.0244868,20.39689394,22.54900564,23.32087719,23.14354839,22.93111954,23.2437037,20.92734255,20.13481482,19.56123715,°C
TAMAULIPAS,1987,8.286574386,11.17769841,12.09898175,14.37384096,19.69247764,21.37784581,21.13922588,21.72555477,20.80867816,16.34567449,13.78687921,12.27984533,°C
TLAXCALA,1987,1.278152842,3.076870748,4.596082949,6.031728395,7.059057072,9.581399177,9.311318954,8.042002225,8.665545977,3.444590285,3.093095238,2.897465438,°C
VERACRUZ DE IGNACIO DE LA LLAVE,1987,11.25059651,13.31521378,14.92249042,15.48002478,19.03636097,19.84679413,19.35921473,19.20023824,19.45497957,16.16972612,15.40320712,14.79653613,°C
YUCATÁN,1987,15.1122876,16.47845654,18.07218917,17.43161446,21.03539289,22.00386619,21.72490125,21.05203088,20.91634333,18.78952202,18.1454454,17.16975046,°C
ZACATECAS,1987,2.991657724,3.60108416,4.956237684,7.573948216,10.01034444,12.86579048,13.20895586,12.37533905,11.91604714,7.83455492,5.180338268,5.029816958,°C
AGUASCALIENTES,1988,2.497177419,5.524268548,6.653195938,9.362777778,11.30373079,12.81754908,13.11200717,12.80434243,11.40087456,8.625023041,5.634114943,4.239822024,°C
BAJA CALIFORNIA,1988,5.206725272,6.71444322,7.177673897,9.05631337,10.64909211,12.46643293,17.34641321,16.89668891,14.62559051,12.69456829,7.637992147,4.783108127,°C
BAJA CALIFORNIA SUR,1988,8.688795791,10.27347385,9.905073993,12.40155638,13.89700457,16.00060113,19.8711595,20.52441067,19.95159959,16.72496363,11.69791667,9.024635367,°C
CAMPECHE,1988,16.5437788,16.23680507,17.76377688,19.55833333,19.93145161,20.91327978,20.86140004,20.84977862,20.76291955,19.34233403,18.17325581,16.33438238,°C
COAHUILA  DE ZARAGOZA,1988,3.315495087,5.369482614,7.830429421,11.99687789,14.58388268,16.03570856,17.6705858,16.63799923,14.49128176,11.62713786,8.495502549,5.717292808,°C
COLIMA,1988,14.29130547,14.62007389,15.07802175,15.78554131,15.90990668,18.39621212,19.96167001,20.26542152,20.02449495,19.11079006,16.72121212,14.97043011,°C
CHIAPAS,1988,15.53122399,15.37671246,16.5254036,18.34018879,18.58934931,19.27672082,18.89786383,19.26279928,19.01900748,17.96910077,16.90075047,15.46824227,°C
CHIHUAHUA,1988,-1.452933566,1.003742963,2.52858743,6.539083644,10.5943465,14.17721805,15.69984451,15.66157999,12.92842949,9.40924601,3.662380952,0.172636649,°C
DISTRITO FEDERAL,1988,4.049147201,6.035714286,7.66176822,9.908214286,10.49694624,11.22637681,10.7112202,10.61827957,9.501515152,7.967419355,5.456832695,5.163857573,°C
DURANGO,1988,1.273002426,3.594077227,4.519536378,7.932900433,10.7968954,13.3941311,14.21840148,14.05675634,12.25536172,8.481481481,4.723458333,3.538995508,°C
GUANAJUATO,1988,4.089508355,6.766294216,8.272619355,11.1907875,12.94188026,13.82579639,13.5130258,13.04348174,11.43866329,9.435626591,7.242675115,6.045425391,°C
GUERRERO,1988,15.52216162,16.86796675,18.08455759,18.68500249,19.25027289,20.24855277,19.74090604,19.99735318,19.93103448,19.58618792,17.60097136,16.25517044,°C
HIDALGO,1988,2.782750896,4.982987711,6.842283092,9.286382979,10.48390565,11.57930403,11.23545773,10.88650282,9.266325758,7.621986747,5.128145065,4.389420149,°C
JALISCO,1988,5.946569436,8.053615605,9.269156876,11.38266685,12.53445541,15.17367497,16.04900331,16.10865171,15.24899849,12.4556906,9.123322163,7.571139661,°C
MÉXICO,1988,2.806709362,5.055459403,6.488773554,8.069619586,9.191375271,10.49407953,10.36457992,10.51304106,9.202467501,7.597147685,4.593007959,3.781879517,°C
